,SPILL_ID,START_DATE,LAT,LON,COUNTY,SPILL_CAUSE,SPILL CAUSE EXPLAIN,SSO Storm Associated,4-Day Rain,SPILL TYPE,SPILL VOL,SPILL VOL REACH LAND,SPILL VOL RECOVER,SPILL VOL REACH SURF,DIAMETER OF SEWER,MATERIAL SEWER_PIPE,AGE,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure
482,822642,2016-03-05 21:34:00,37.92803,-122.33521,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,36.8063,Category 1,16490,0,0,16490, , , ,0.401365995,0.376466721,0.37850523,0.000272155,0.973600626,290.1879272,99722.28125
509,822643,2016-03-05 21:40:00,37.91677,-122.32686000000001,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,37.1007,Category 1,8835,0,0,8835, , , ,0.401365995,0.376466721,0.37850523,0.000272155,0.973600626,290.1879272,99722.28125
403,822644,2016-03-05 22:05:00,37.94259,-122.36668999999999,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,43.0892,Category 1,4559,0,0,4559, , , ,0.401365995,0.376466721,0.37850523,0.000272155,0.973600626,290.1879272,99722.28125
248,822645,2016-03-05 21:30:00,37.59616,-122.50256,San Mateo,"Rainfall Exceeded Design, I and I (Separate CS Only)", ,Yes,36.4946,Category 1,70140,0,0,70140,24,VCP,40,0.325682402,0.30175969,0.285975933,0.000329733,0.973600626,288.1019897,100194.2813
79,822646,2016-03-06 07:00:00,38.405559999999994,-122.82271999999999,Sonoma,Root Intrusion, ,No,63.4658,Category 1,560,0,75,485,6,VCP,28,0.373846322,0.371395886,0.349085689,1.62e-05,0.973844707,283.16210939999996,99474.32031
1839,822647,2016-03-06 13:20:00,34.009094,-118.272819,Los Angeles,Debris-General, ,No,15.8888,Category 3,623,623,623,0,8,VCP,107,0.312752187,0.180740967,0.185527876,0.000867844,0.9543133970000001,286.6064453,99449.64844
361,822648,2016-03-05 15:45:00,37.593610999999996,-122.402639,San Mateo,Debris from Construction,"Contractor working on a lower lateral for a property owner left a temporary connection on the lower lateral at the main, and this weekends rain water rushed into the trench and washed all the base rock into our 6  main causing it to back up.",Yes,,Category 2,3000,3000,3000,0,6,VCP,60,0.302335024,0.282779455,0.268585205,4.6500000000000005e-05,0.9736006859999999,287.3725586,100528.9375
1517,822649,2016-03-04 13:53:00,37.97287,-121.26518999999999,San Joaquin,Grease Deposition (FOG), ,Yes,0.0503,Category 3,2,2,2,0, , , ,0.340751171,0.354644865,0.35875034299999997,6.49e-08,0.969938874,283.73590089999993,101394.3906
888,822653,2016-03-06 00:00:00,37.14181,-122.09026999999999,Santa Cruz,Pump Station Failure-Mechanical,Check valve on effluent discharge failed.  The check valve flapper broke off plugging discharge piping restricting flow.,No,65.1462,Category 1,3150,0,0,3150,2,bronze,15,0.365774035,0.283828378,0.269184262,0.001029015,0.969694376,286.2389526,98248.80469
1790,822655,2016-03-07 09:00:00,34.004870000000004,-118.47353000000001,Los Angeles,Pipe Structural Problem/Failure,Concrete and clay were recovered from the line. Blockage attributed to this debris.,No,23.8471,Category 1,20400,880,880,19520, , , ,0.20776227100000003,0.216835678,0.22097978,6.66e-06,0.955533922,281.3180847,99777.42188
145,822656,2016-01-06 00:00:00,37.89049,-122.56598999999999,Marin,Other (specify below),In cold weather packing around pipe contracting causes minimal weep. Currently not leaking. Spill was not active when witnessed on 1/6/16. Wall below penetration slightly stained. Small stain on concrete below. Efforts to isolate tank and repair commenced the following week. No new leak reported since.,No,26.6121,Category 3,10,10,10,0, , , ,0.307862163,0.300791621,0.285732955,3.13e-06,0.9631701709999999,282.27853389999996,99926.26563
1027,822667,2016-03-06 00:00:00,36.598569,-121.836072,Monterey,Root Intrusion, ,No,54.4636,Category 3,50,0,50,0, , , ,0.27544200399999996,0.130538598,0.15718475,0.00016909799999999999,0.963835001,286.97491460000003,98544.80469
621,822668,2016-03-05 23:57:00,37.395164,-122.29136899999999,San Mateo,Pump Station Failure-Power,"Power outage in area due to storm event with heavy wind and rain. Lift station transferred to and was running on backup power. When normal power was restored, resulting power surge caused power breaker to trip rendering station inoperable.",Yes,,Category 1,675,600,600,75, , , ,0.345824003,0.321901292,0.303798199,0.000323772,0.971647501,288.1488647,99034.28125
517,822671,2016-03-05 21:34:00,37.92383,-122.32328999999999,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,36.9396,Category 1,14440,0,0,14440, , , ,0.401365995,0.376466721,0.37850523,0.000272155,0.973600626,290.1879272,99722.28125
549,822687,2016-03-05 10:00:00,37.94995,-122.31718000000001,Contra Costa,Debris from Construction,We are uncertain weather the pipe separation was caused by another utility there was a fresh street cut were the separation was. This line is on top of an earthquake fault,Yes,11.1041,Category 2,5301,5301,0,0,6,clay,70,0.397160113,0.375310689,0.377375931,2.57e-05,0.973600745,286.4595337,100294.5078
599,822690,2016-03-05 21:00:00,37.544740000000004,-122.30281000000001,San Mateo,"Rainfall Exceeded Design, I and I (Separate CS Only)","Storm surcharge exceeded our 80,000 gallon holding tanks. We were able to keep 80,000 gallons from reaching the waterways.",Yes,34.8207,Category 1,296000,0,80000,216000,33,CIPP,0,0.34850955,0.337770432,0.31991148,0.00021594799999999999,0.9721357820000001,289.621521,99490.28125
600,822727,2016-03-06 23:00:00,37.544740000000004,-122.3028,San Mateo,"Rainfall Exceeded Design, I and I (Separate CS Only)","Storm surcharge exceeded our 80,000 gallon holding tanks. We were able to keep 80,000 gallons from reaching the waterways.",Yes,59.6781,Category 1,146000,0,80000,66000,33,CIPP,0,0.330771476,0.358295441,0.33745241200000003,4.61e-07,0.972379744,287.00286869999996,100293.8906
816,822733,2016-02-18 00:00:00,37.441463,-122.151398,Santa Clara,Root Intrusion, ,No,12.4847,Category 3,25,25,21,0, , , ,0.326136231,0.34410890899999996,0.325922191,0.000305891,0.9709739690000001,287.08843989999997,98398.21094
1111,822744,2016-03-04 15:30:00,38.58039,-121.50608999999999,Sacramento,Surcharged Pipe (Combined CS Only),SPILL CAUSED BY A SURCHARGED AT SUMP 107. OVERFLOWED INTO PARKING GARAGE.,Yes,4.3882,Category 3,100,100,100,0, , , ,0.252436757,0.315367997,0.314993382,1.43e-06,0.9696946740000001,288.18737789999994,101444.5391
994,822746,2016-03-08 00:00:00,36.60796,-121.91601999999999,Monterey,Root Intrusion,ROOTS AND A GLOVE,No,80.8253,Category 3,25,25,25,0, , , ,0.384774745,0.39529088100000004,0.374494106,5.73e-06,0.963834524,283.01602169999995,99851.83594
351,822747,2016-03-05 05:00:00,37.64304,-122.42515,San Mateo,"Rainfall Exceeded Design, I and I (Separate CS Only)", ,Yes,,Category 1,22500,0,0,22500,10,vcp,30,0.335538834,0.322809726,0.30508008600000003,1.0800000000000002e-05,0.973600805,286.76718139999997,100688.0391
746,822749,2016-03-06 13:21:00,37.451667,-122.213333,San Mateo,Other (specify below),"Shop towels, toilet paper",Yes,49.9807,Category 1,1280,1068,1068,212, , , ,0.369636953,0.36592161700000003,0.34287652399999996,2.81e-06,0.972135663,282.0027466,99905.64844
328,822753,2016-03-07 00:00:00,37.8826,-122.46605,Marin,Debris-Rags, ,No,59.0902,Category 1,600,0,0,600, , , ,0.340480626,0.323191673,0.33764827299999994,0.000239015,0.9743328090000001,284.1634216,100349.9609
1025,822755,2016-03-07 00:00:00,36.63016,-121.83882,Monterey,Pipe Structural Problem/Failure, ,No,67.7068,Category 2,1500,1500,0,0,10,steel,50,0.356471837,0.377757102,0.35901057700000005,1.61e-09,0.964078903,284.6365662,100109.9609
1877,822764,2016-03-07 07:30:00,33.969440000000006,-118.02054,Los Angeles,Root Intrusion, ,Yes,14.3881,Category 1,750,0,0,750, , , ,0.190380782,0.180155188,0.186942205,9.85e-08,0.952848375,281.1777649,98882.38281
1946,822791,2016-02-17 00:00:00,34.25349,-117.21656999999999,San Bernardino,Root Intrusion, ,Yes,0.0,Category 3,30,30,15,0,6,ACP,50,0.11901547800000001,0.07525619900000001,0.109995656,0.0,0.9284046290000001,288.931427,87144.39844
78,822792,2016-02-19 11:40:00,38.4025,-122.82468999999999,Sonoma,Root Intrusion, ,No,17.4591,Category 3,8,8,8,0,4,AC,40,0.329884112,0.34299063700000004,0.333263755,1.53e-06,0.971584618,281.63500980000003,100387.3828
687,822793,2016-03-09 10:15:00,37.48437,-122.25823999999999,San Mateo,Debris-General, ,No,64.4555,Category 1,3000,0,25,3000,6,vcp, ,0.350233167,0.37037116299999995,0.34995624399999997,2.71e-05,0.972135007,282.0916748,100499.3281
1786,822796,2016-03-09 20:25:00,34.049956,-118.49074399999999,Los Angeles,Root Intrusion, ,No,25.3635,Category 3,786,786,786,0,8,VCP,88,0.179784477,0.24054019199999999,0.23380607399999997,1.09e-27,0.955777526,299.4174805,100094.4141
1835,822802,2016-03-08 11:58:00,33.79074,-118.2817,Los Angeles,Pipe Structural Problem/Failure, ,No,17.1874,Category 3,360,0,0,0,8,CIP,55,0.19450013300000002,0.22467941,0.218549863,6.78e-10,0.956998527,279.8065796,100825.6797
1029,822828,2016-03-09 00:00:00,36.63272,-121.83308999999998,Monterey,Pipe Structural Problem/Failure, ,No,73.0752,Category 2,43000,43000,0,0,10,Steel,50,0.220761061,0.14259176,0.175009474,8.73e-14,0.962857783,283.6066895,99822.5
375,822829,2016-03-08 14:10:00,37.61286,-122.38913000000001,San Mateo,Other (specify below),A worn out pipe connection was the cause.,No,64.4151,Category 3,60,30,60,0, , , ,0.34082931299999997,0.352205008,0.331603914,5.83e-10,0.97384423,278.4440918,100874.2656
374,822831,2016-03-09 15:15:00,37.61307,-122.38941000000001,San Mateo,Debris-General,A blockage in the downstream sanitary sewer line was the cause of the leak.,No,57.0888,Category 3,135,5,135,0, , , ,0.33900198299999995,0.35032388600000003,0.330619127,5.2600000000000005e-05,0.974088073,284.80444339999997,100988.4141
1816,822834,2016-03-08 07:39:00,33.803251,-118.3656623,Los Angeles,Root Intrusion, ,No,18.6323,Category 1,20,0,0,20, , , ,0.205197722,0.23344574899999998,0.226443172,2.13e-10,0.956998527,280.62493900000004,100314.8281
428,822835,2016-03-10 14:45:00,37.95033,-122.35715,Contra Costa,Flow Exceeded Capacity (Separate CS Only),Severe storm event,Yes,22.5472,Category 1,33735,0,0,33735, , , ,0.409703374,0.402402252,0.405849636,3.5399999999999995e-11,0.974322438,284.1658325,100622.3125
473,822836,2016-03-10 15:06:00,37.9323,-122.33882,Contra Costa,Flow Exceeded Capacity (Separate CS Only),Severe storm event.,Yes,23.8318,Category 1,10430,0,0,10430, , , ,0.407509923,0.40234091899999996,0.405790836,1.0900000000000001e-07,0.9743157029999999,287.76593019999996,100691.5078
1813,822839,2016-03-08 07:59:00,33.77665921,-118.38438559999999,Los Angeles,Other (specify below),Roots,No,17.8967,Category 1,4500,0,0,4500, , , ,0.20055905,0.228990182,0.22180450000000002,4.1200000000000004e-11,0.95821923,282.4978638,100794.8281
689,822850,2016-03-10 11:45:00,37.44812,-122.25651,San Mateo,Root Intrusion, ,No,26.9546,Category 2,1500,0,1500,0,6,cvp, ,0.35051474,0.36954546,0.34945035,8.210000000000001e-08,0.972131968,285.5629883,100333.0938
204,822853,2016-03-10 17:25:00,37.879444,-122.53694399999999,Marin,Root Intrusion,Collection of loose roots possibly from a plumber collected on an existing root intrusion,Yes,,Category 1,63900,6900,6025,57000,12,ACP,60,0.36356461,0.380368263,0.360258609,1.13e-05,0.975048125,287.4260864,100723.5078
419,822854,2016-03-11 10:40:00,37.55275,-122.35914,San Mateo,Pipe Structural Problem/Failure,See above.,Yes,19.0875,Category 1,207,0,0,207,6,CI,25,0.35799148700000005,0.351907223,0.330923855,2.65e-05,0.97354269,285.85153199999996,100045.1563
408,822867,2016-03-10 15:35:00,37.94259,-122.36668999999999,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,24.1549,Category 1,7181,0,0,7181, , , ,0.407509923,0.40234091899999996,0.405790836,1.0900000000000001e-07,0.9743157029999999,287.76593019999996,100691.5078
485,822868,2016-03-10 16:18:00,37.92803,-122.33521,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,28.6252,Category 1,10140,0,0,10140, , , ,0.407509923,0.40234091899999996,0.405790836,1.0900000000000001e-07,0.9743157029999999,287.76593019999996,100691.5078
1831,822869,2016-03-12 11:00:00,34.257444,-118.300224,Los Angeles,Debris-General, ,No,10.4663,Category 3,43,43,43,0,8,VCP,58,0.24196720100000002,0.215281069,0.221527055,3.06e-07,0.951515973,276.5595398,94412.5625
240,822870,2016-03-13 15:40:00,37.5958,-122.50346,San Mateo,Flow Exceeded Capacity (Separate CS Only), ,Yes,53.3715,Category 1,3460,0,0,3460, , , ,0.37590497700000003,0.357976735,0.335700154,0.000318527,0.9746418,286.4755249,101198.4453
2,822872,2016-03-13 19:30:00,40.59449,-124.25255,Humboldt,Pump Station Failure-Controls,Massive flooding had collection system full. A computer glitch did not kick the reserve pumps on. Operator was monitoring the plant at the time and saw the pumps not kick on. Operator was en route to plant before spill occurred so spill was kept to minimum,Yes,,Category 1,500,0,0,500, , , ,0.47066628899999996,0.49336189,0.474525064,0.000177979,0.9768322709999999,284.78320310000004,98397.17188
423,822875,2016-03-13 15:18:00,37.948840000000004,-122.35722,Contra Costa,Flow Exceeded Capacity (Separate CS Only), ,Yes,55.6196,Category 1,486,0,0,486, , , ,0.457692087,0.435613453,0.436164021,0.000256658,0.9746418,286.19036869999996,100686.4453
94,822876,2016-03-10 17:37:00,38.282709999999994,-122.66523000000001,Sonoma,"Rainfall Exceeded Design, I and I (Separate CS Only)", ,Yes,,Category 1,81575,0,0,81575, , , ,0.449013829,0.455197364,0.441801578,0.000325799,0.9743157029999999,285.958313,100043.5078
1656,822881,2016-03-13 05:00:00,39.099133,-120.95486499999998,Placer,Debris-Rags, ,Yes,63.29,Category 1,4180,0,300,4180,6,VCP,10,0.40141984799999997,0.3862122,0.401500285,0.00030875200000000003,0.9758895040000001,277.25494380000004,93442.32031
1144,822914,2016-03-09 16:16:00,38.57359,-121.45786000000001,Sacramento,Root Intrusion, ,No,41.6302,Category 3,10,0,10,0, , , ,0.31422171,0.298077792,0.291800767,9.92e-08,0.969693542,285.3581543,101588.4141
1828,822925,2016-03-09 22:19:00,33.937341499999995,-118.31769950000002,Los Angeles,Other (specify below),"The suspected causes of the spill were asphalt, grease, and rags.",No,20.9595,Category 3,10,10,0,0, , , ,0.173706174,0.214100078,0.22085236,4.91e-28,0.956021607,302.407959,100312.75
925,822926,2016-03-14 00:00:00,36.97524,-122.04301000000001,Santa Cruz,Debris-Rags, ,No,48.4492,Category 3,5,5,5,0,6,vcp, ,0.472507864,0.49161353700000004,0.468307734,0.000249624,0.9672973159999999,285.8214417,100315.4063
610,822950,2016-02-29 05:45:00,38.28285,-122.29898,Napa,Root Intrusion, ,Yes,,Category 3,64,64,20,0,4,Clay, ,0.298802584,0.32881996,0.33006370100000004,0.0,0.9716488120000001,283.65646360000005,100852.75
903,822952,2016-02-18 14:39:00,38.280338,-122.067555,Solano,Pipe Structural Problem/Failure, ,No,13.1165,Category 3,1,1,1,0, , , ,0.375024766,0.36076855700000005,0.35268411,0.000141382,0.970286012,281.94000239999997,99929.73438
950,822961,2016-01-20 16:10:00,37.32801,-122.02178,Santa Clara,Root Intrusion, ,No,47.4935,Category 3,44,44,17,0, , , ,0.389278442,0.39422836899999997,0.37478700299999995,0.0,0.963306725,282.4063416,99079.125
664,822967,2016-03-10 20:30:00,37.470833,-122.27138899999999,San Mateo,Root Intrusion, ,Yes,31.0407,Category 1,6203,42,42,6161, , , ,0.338890344,0.368311018,0.348480254,1.82e-07,0.972355843,290.52929689999996,100360.2656
1832,822968,2016-03-08 16:30:00,33.81912474,-118.29040559999999,Los Angeles,Other (specify below),Grease - Rags,No,17.9191,Category 1,6000,0,150,5850, , , ,0.19878888100000003,0.233022466,0.226382136,4.880000000000001e-10,0.956998467,288.98172,100785.2734
412,822970,2016-03-14 13:00:00,37.93647,-122.36665,Contra Costa,Debris-General, ,No,58.7843,Category 1,1695,0,0,1695, , , ,0.442273855,0.436348379,0.438841671,5.02e-06,0.974786818,282.7485352,101135.9609
365,822971,2016-03-11 15:00:00,37.929590000000005,-122.39447,Contra Costa,Root Intrusion,Grease imbedded with roots,Yes,30.2464,Category 3,450,450,0,0, , , ,0.442290962,0.41950756299999997,0.42060190399999997,0.000315666,0.974261582,284.4976807,99758.3125
497,822972,2016-03-13 17:00:00,37.93412,-122.32793999999998,Contra Costa,Debris-General, ,No,56.7825,Category 1,5790,0,0,5790, , , ,0.457692087,0.435613453,0.436164021,0.000256658,0.9746418,286.19036869999996,100686.4453
518,822985,2016-03-14 06:30:00,38.32251,-122.32276,Napa,Debris from Lateral,Lateral connection at the main failed allowing backfill (river run) to flow into the main due to high level of ground water flowing.  Area received ~11  of rain in 11 days. Main plugged causing man hole up stream to over flow.,No,76.2587,Category 1,2837,57,28,2780, , , ,0.388731331,0.396266282,0.39150893700000006,9.58e-06,0.9741197229999999,283.9945984,99369.4375
1462,822998,2016-03-13 00:00:00,38.576453,-121.30413300000001,Sacramento,Root Intrusion, ,No,35.568000000000005,Category 1,617,5,5,612,6,VCP, ,0.332331508,0.315371305,0.306482375,0.00012701700000000002,0.970525146,284.8665161,101367.5
1182,823000,2016-03-10 00:00:00,38.429781,-121.42535600000001,Sacramento,Root Intrusion, ,No,20.7193,Category 1,1009,78,74,931,4,VCP, ,0.29302007,0.286153972,0.29723617399999996,1.11e-07,0.969937623,287.9329224,101506.4531
201,823016,2016-03-13 07:00:00,37.894289,-122.53785800000001,Marin,Root Intrusion, ,No,51.051,Category 3,120,120,0,0,6,VCP,50,0.399632603,0.408857375,0.386163294,8.9e-05,0.975638628,285.1861267,100924.8281
128,823028,2016-03-16 12:00:00,38.94119,-122.61646999999999,Lake,Debris-General, ,No,34.8058,Category 2,3600,3600,2600,0,8,PVC,30,0.38606047600000004,0.410614133,0.400471151,6.8e-15,0.97148937,279.511261,96056.21094
1468,823033,2016-03-16 13:45:00,37.9608,-121.29717,San Joaquin,Debris-General, ,No,14.7686,Category 3,4,4,4,0, , , ,0.293164968,0.29660046100000004,0.313068807,1.98e-13,0.9673389790000001,279.1470032,101608.2109
1627,823036,2016-03-14 16:30:00,38.939820000000005,-121.09773999999999,Placer,Pipe Structural Problem/Failure, ,No,88.705,Category 3,25,24,25,0,6,VCP,39,0.35584852100000003,0.359621078,0.350756854,1.09e-06,0.973271012,283.1288757,98568.46875
1668,823044,2016-03-14 14:37:00,38.698955,-120.85728,El Dorado,Pipe Structural Problem/Failure, ,Yes,80.5621,Category 1,2500,0,0,2500, , , ,0.40907073,0.403877676,0.420164913,1.67e-05,0.978693068,280.86743160000003,95327.96094
178,823046,2016-03-16 09:20:00,38.00009,-122.54737,Marin,Root Intrusion, ,No,29.2975,Category 3,4,4,4,0,6,vcp,65,0.354540914,0.376245648,0.38346198200000003,1.58e-25,0.976113439,280.38812260000003,100820.1094
671,823048,2016-03-17 07:15:00,37.51165,-122.26646000000001,San Mateo,Pipe Structural Problem/Failure, ,No,15.21,Category 1,200,50,100,100, , , ,0.357945949,0.39512273700000006,0.37285801799999996,5.5e-32,0.97194016,282.38259889999995,100254.0547
889,823050,2016-03-10 09:40:00,37.36338,-122.09011000000001,Santa Clara,Root Intrusion, ,No,27.4013,Category 3,52,52,52,0,6,VCP,60,0.352956146,0.371742725,0.347985506,1.98e-06,0.970178843,284.06225589999997,99101.09375
59,823059,2016-03-13 18:00:00,39.41833,-123.34149,Mendocino,"Rainfall Exceeded Design, I and I (Separate CS Only)", ,Yes,123.7493,Category 2,9000,9000,0,0, , , ,0.429528594,0.44258064,0.43143424399999997,0.000233948,0.975855708,282.0048828,94805.17188
314,823065,2016-03-15 16:30:00,37.507082000000004,-122.474795,San Mateo,Root Intrusion, ,No,33.7292,Category 3,1,1,1,0,6,VCP, ,0.35526135600000003,0.376257688,0.35396975299999994,7.25e-23,0.97407937,284.3174744,101780.1719
733,823080,2016-03-15 09:00:00,37.77417,-122.22166999999999,Alameda,Debris-General, ,No,37.4561,Category 3,120,120,120,0,8,VCP, ,0.23556406800000002,0.137734011,0.223147333,2.3999999999999998e-11,0.973450065,279.2788391,101240.8516
765,823081,2016-03-11 12:00:00,37.81474,-122.20251,Alameda,Root Intrusion, ,No,23.4195,Category 3,180,180,0,0,8,VCP, ,0.32186508199999997,0.284793794,0.296512544,1.27e-06,0.9725593920000001,285.678833,99607.41406
662,823122,2016-03-12 11:28:00,37.29438,-122.27259,San Mateo,Root Intrusion, ,No,19.0814,Category 3,100,100,100,0, , , ,0.321190834,0.31543976100000004,0.299957246,1.99e-08,0.9715355040000001,282.113739,99724.5625
1034,823176,2016-03-13 16:45:00,37.38122,-121.80721000000001,Santa Clara,Root Intrusion,roots from an abandoned lateral/home entered into the mainline from lateral tap and from joints,Yes,31.6722,Category 1,6710,0,0,6710,6,VCP, ,0.401051462,0.37164861,0.34912788899999997,0.000484824,0.967317581,284.54193119999996,97166.44531
971,823194,2016-03-19 22:00:00,37.28638,-121.98453,Santa Clara,Pipe Structural Problem/Failure, ,Yes,0.0,Category 1,605,120,120,485, , , ,0.38602691899999997,0.426604062,0.40672606200000005,0.0,0.96462965,292.3399048,98374.69531
398,823216,2016-03-13 12:30:00,37.55772,-122.37061000000001,San Mateo,Root Intrusion,Root intrusion from lateral growing into city mainline. On call personal already in town for a downed tree that they had just finished taking care of.,Yes,,Category 3,975,975,0,0,6,Liner,15,0.396984965,0.36916410899999996,0.345757008,0.000579834,0.973671973,285.77877810000007,100624.5156
45,823230,2016-03-21 11:50:00,40.87443,-124.07848600000001,Humboldt,Debris-General,Influx of  paper towels and hygiene products from student used bathrooms at peak usage between classes.,Yes,28.8743,Category 1,1000,500,0,500,6,PVC, ,0.433955044,0.460054874,0.44623759399999996,2.8000000000000003e-05,0.978082716,283.5830383,99247.625
1870,823311,2016-03-28 09:20:00,34.10572,-118.08854,Los Angeles,Debris from Lateral,30-ft plumbers snake from lateral became lodged in mainline and accumulated other debris.,Yes,0.0248,Category 1,4500,0,0,4500,8,clay,70,0.107476845,0.201991752,0.195835873,4.53e-08,0.948904097,284.71493530000004,96033.32813
592,823313,2016-03-13 19:30:00,37.548645,-122.30481499999999,San Mateo,"Rainfall Exceeded Design, I and I (Separate CS Only)","Storm Surcharge exceeded our 80,000 gallon relief tanks. We were able to keep 80,000 gallons from reaching the waterways.",Yes,47.6175,Category 1,80900,0,80000,900,33,CIPP,0,0.38411843799999995,0.376784742,0.35196647,0.000164151,0.9736584420000001,286.6953125,100741.1719
461,823324,2016-03-14 09:41:00,37.570786,-122.34766699999999,San Mateo,Root Intrusion, ,No,51.256,Category 3,46,46,46,0,6,VCP,86,0.370606273,0.37799212299999996,0.354213685,1.78e-06,0.973861277,284.3497314,100940.1875
448,823373,2016-03-11 14:00:00,37.5646,-122.35221399999999,San Mateo,Grease Deposition (FOG), ,Yes,20.7286,Category 3,101,101,25,0,6,VCP,66,0.354701996,0.351810396,0.330936372,1.83e-06,0.973535955,285.76867680000004,99807.41406
1411,823383,2016-02-01 09:00:00,38.55911944,-121.3279361,Sacramento,Debris-General, ,No,11.517999999999999,Category 3,8,7,5,0, , , ,0.260465533,0.279178888,0.27624917,2.8199999999999996e-13,0.9637140040000001,275.3831787,101062.6094
1478,823384,2016-02-01 15:30:00,38.67321389,-121.2906139,Sacramento,Root intrusion, ,No,14.5436,Category 3,2,2,1,0, , , ,0.214110091,0.21055336300000002,0.230151847,1.45e-14,0.963475049,276.610321,101467.8438
1529,823385,2016-02-02 17:39:00,38.63481944,-121.25548059999998,Sacramento,Debris-General, ,No,14.6255,Category 3,11,10,10,0, , , ,0.266159743,0.272264361,0.286212862,6.07e-06,0.9649604559999999,277.9350586,101392.1797
1475,823386,2016-02-02 15:45:00,38.64346111,-121.29238329999998,Sacramento,Root intrusion, ,No,13.7366,Category 3,6,6,3,0, , , ,0.207443908,0.209215045,0.229633272,1.36e-05,0.963983893,278.00585939999996,101792.1797
1494,823387,2016-02-02 17:00:00,38.65230556,-121.2818139,Sacramento,Root intrusion, ,No,14.0181,Category 3,3,3,2,0, , , ,0.207443908,0.209215045,0.229633272,1.36e-05,0.963983893,278.00585939999996,101792.1797
1161,823455,2016-02-18 08:00:00,38.41975556,-121.4423167,Sacramento,Root intrusion, ,No,14.1796,Category 3,7,6,5,0, , , ,0.307189375,0.267160892,0.276790142,0.00010967299999999999,0.9700196390000001,280.5960693,100244.5
1429,823456,2016-02-18 08:30:00,38.64926111,-121.3205028,Sacramento,Root intrusion, ,No,16.4734,Category 3,3,3,1,0, , , ,0.286803633,0.212473407,0.228328213,0.000166059,0.969287217,280.274292,99860.5
1389,823458,2016-02-19 07:00:00,38.67170556,-121.3423139,Sacramento,Root intrusion, ,No,17.3022,Category 3,4,4,4,0, , , ,0.230065569,0.212108821,0.229219645,2.98e-11,0.969376206,280.5491333,101043.5313
1459,823460,2016-02-19 15:00:00,38.66390833,-121.30565559999998,Sacramento,Root intrusion, ,No,18.144000000000002,Category 3,98,11,93,0, , , ,0.22335054,0.21139425,0.22912654300000002,3.01e-08,0.969165444,282.9080505,101278.6484
1458,823461,2016-02-19 16:45:00,38.66752222,-121.3057278,Sacramento,Root intrusion, ,No,18.146,Category 3,2,2,1,0, , , ,0.22335054,0.21139425,0.22912654300000002,3.01e-08,0.969165444,282.9080505,101278.6484
1249,823464,2016-02-18 19:00:00,38.55722222,-121.3858139,Sacramento,Root intrusion, ,No,16.6826,Category 3,8,8,4,0, , , ,0.29224756399999996,0.278202176,0.27306515,4.1e-05,0.9690876009999999,287.5731506,101117.9375
1457,823465,2016-02-20 11:30:00,38.69432778,-121.3066528,Sacramento,Debris-General, ,No,18.9114,Category 3,2,2,1,0, , , ,0.214937761,0.20864839899999998,0.227021337,3.1899999999999995e-11,0.968721092,278.65289310000003,101489.9531
1218,823466,2016-02-19 20:00:00,38.45783056,-121.40109720000001,Sacramento,Debris-General, ,No,16.088,Category 3,5,5,2,0, , , ,0.26222524,0.26642397,0.277522355,6.93e-06,0.969909012,287.78976439999997,101759.6875
1181,823467,2016-02-20 08:30:00,38.53665278,-121.42603059999999,Sacramento,Root intrusion, ,No,16.0372,Category 3,5,5,2,0, , , ,0.26986736100000003,0.275924534,0.272814542,6.61e-11,0.969209433,280.4061584,101996.9766
1362,823468,2016-02-20 15:30:00,38.59616944,-121.3549639,Sacramento,Root intrusion, ,No,17.5657,Category 3,3,3,1,0, , , ,0.21323624300000002,0.209868506,0.228927493,0.0,0.969453454,281.64688110000003,101702.5703
1155,823470,2016-02-21 03:00:00,38.44283056,-121.44454440000001,Sacramento,Root intrusion, ,No,15.8427,Category 3,3,3,2,0, , , ,0.24763470899999998,0.264284521,0.27674481300000003,0.0,0.969941616,280.84530639999997,101961.1484
1539,823471,2016-02-21 13:00:00,38.67671667,-121.25192220000001,Sacramento,Root intrusion, ,No,19.338,Category 3,256,256,30,0, , , ,0.27667620800000003,0.272826701,0.286056995,0.0,0.970185697,277.1789246,101268.0469
301,823584,2016-03-11 12:00:00,37.83785,-122.48151000000001,Marin,Root Intrusion, ,No,30.0523,Category 3,20,20,0,0, , , ,0.381557465,0.38367074700000003,0.360355318,2.86e-06,0.975000799,285.5460205,100007.4141
928,823613,2016-03-16 18:35:00,38.262609000000005,-122.040144,Solano,Debris-Rags, ,No,22.0555,Category 3,6,6,6,0, , , ,0.37663823399999996,0.410498708,0.403545827,7.41e-25,0.971642673,292.7008667,100986.3594
